,C1,C2,C3,nC4,isoC4,nC5,isoC5,nC6,nC7,nC8,nC9,nC10
C1,0,0.005,0.01,0.025,0.035,0.03,0.05,0.03,0.035,0.04,0.04,0.045
C2,0.005,0,0.005,0.01,0.005,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C3,0.01,0.005,0,0,0,0.015,0.015,0.01,0.005,0.005,0.005,0.005
C4,0.025,0.01,0,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
isoC4,0.035,0.005,0,0.005,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005
nC5,0.03,0.02,0.015,0.005,0.005,0,0,0,0,0,0,0
isoC5,0.05,0.02,0.015,0.005,0.005,0,0,0,0,0,0,0
nC6,0.03,0.02,0.01,0.005,0.005,0,0,0,0,0,0,0
nC7,0.035,0.02,0.005,0.005,0.005,0,0,0,0,0,0,0
nC8,0.04,0.02,0.005,0.005,0.005,0,0,0,0,0,0,0
nC9,0.04,0.02,0.005,0.005,0.005,0,0,0,0,0,0,0
nC10,0.045,0.02,0.005,0.005,0.005,0,0,0,0,0,0,0
